trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
28,07:37:00,07:37:00,39,6,0,0,43.4604
28,07:48:00,07:48:00,2,7,0,0,53.9873
28,08:02:00,08:02:00,10,8,0,0,59.3167
29,09:01:00,09:01:00,1,1,0,0,0.0000
29,09:27:00,09:27:00,28,2,0,0,7.6985
29,09:37:00,09:37:00,71,3,0,0,14.5943
29,09:47:00,09:47:00,9,4,0,0,20.6178
29,10:01:00,10:01:00,55,5,0,0,32.5884
29,10:11:00,10:11:00,39,6,0,0,43.4604
29,10:21:00,10:21:00,2,7,0,0,53.9873
29,10:35:00,10:35:00,10,8,0,0,59.3167
30,11:24:00,11:24:00,1,1,0,0,0.0000
30,11:50:00,11:50:00,28,2,0,0,7.6985
30,12:01:00,12:01:00,71,3,0,0,14.5943
30,12:12:00,12:12:00,9,4,0,0,20.6178
30,12:26:00,12:26:00,55,5,0,0,32.5884
30,12:36:00,12:36:00,39,6,0,0,43.4604
30,12:50:00,12:50:00,2,7,0,0,53.9873
30,13:03:00,13:03:00,10,8,0,0,59.3167
31,13:47:00,13:47:00,1,1,0,0,0.0000
31,14:13:00,14:13:00,28,2,0,0,7.6985
31,14:23:00,14:23:00,71,3,0,0,14.5943
31,14:30:00,14:30:00,9,4,0,0,20.6178
31,14:43:00,14:43:00,55,5,0,0,32.5884
31,14:54:00,14:54:00,39,6,0,0,43.4604
31,15:08:00,15:08:00,2,7,0,0,53.9873
31,15:21:00,15:21:00,10,8,0,0,59.3167
32,15:20:00,15:20:00,1,1,0,0,0.0000
32,15:47:00,15:47:00,28,2,0,0,7.6985
32,15:58:00,15:58:00,71,3,0,0,14.5943
32,16:05:00,16:05:00,9,4,0,0,20.6178
32,16:18:00,16:18:00,55,5,0,0,32.5884
32,16:29:00,16:29:00,39,6,0,0,43.4604
32,16:39:00,16:39:00,2,7,0,0,53.9873
32,16:52:00,16:52:00,10,8,0,0,59.3167
33,16:47:00,16:47:00,1,1,0,0,0.0000
33,17:14:00,17:14:00,28,2,0,0,7.6985
33,17:25:00,17:25:00,71,3,0,0,14.5943
33,17:36:00,17:36:00,9,4,0,0,20.6178
33,17:50:00,17:50:00,55,5,0,0,32.5884
33,18:00:00,18:00:00,39,6,0,0,43.4604
33,18:14:00,18:14:00,2,7,0,0,53.9873
33,18:28:00,18:28:00,10,8,0,0,59.3167
34,17:48:00,17:48:00,1,1,0,0,0.0000
34,18:14:00,18:14:00,28,2,0,0,7.6985
34,18:25:00,18:25:00,71,3,0,0,14.5943
34,18:32:00,18:32:00,9,4,0,0,20.6178
34,18:45:00,18:45:00,55,5,0,0,32.5884
34,18:56:00,18:56:00,39,6,0,0,43.4604
34,19:06:00,19:06:00,2,7,0,0,53.9873
34,19:23:00,19:23:00,10,8,0,0,59.3167
35,19:14:00,19:14:00,1,1,0,0,0.0000
35,19:40:00,19:40:00,28,2,0,0,7.6985
35,19:51:00,19:51:00,71,3,0,0,14.5943
35,19:58:00,19:58:00,9,4,0,0,20.6178
35,20:11:00,20:11:00,55,5,0,0,32.5884
35,20:22:00,20:22:00,39,6,0,0,43.4604
35,20:32:00,20:32:00,2,7,0,0,53.9873
35,20:46:00,20:46:00,10,8,0,0,59.3167
36,20:45:00,20:45:00,1,1,0,0,0.0000
36,21:11:00,21:11:00,28,2,0,0,7.6985
36,21:23:00,21:23:00,71,3,0,0,14.5943
36,21:30:00,21:30:00,9,4,0,0,20.6178
36,21:43:00,21:43:00,55,5,0,0,32.5884
36,21:54:00,21:54:00,39,6,0,0,43.4604
36,22:08:00,22:08:00,2,7,0,0,53.9873
36,22:21:00,22:21:00,10,8,0,0,59.3167
37,22:43:00,22:43:00,1,1,0,0,0.0000
37,23:09:00,23:09:00,28,2,0,0,7.6985
37,23:20:00,23:20:00,71,3,0,0,14.5943
37,23:27:00,23:27:00,9,4,0,0,20.6178
37,23:40:00,23:40:00,55,5,0,0,32.5884
37,23:51:00,23:51:00,39,6,0,0,43.4604
37,24:01:00,24:01:00,2,7,0,0,53.9873
37,24:14:00,24:14:00,10,8,0,0,59.3167
38,24:49:00,24:49:00,1,1,0,0,0.0000
38,25:15:00,25:15:00,28,2,0,0,7.6985
38,25:26:00,25:26:00,71,3,0,0,14.5943
38,25:36:00,25:36:00,9,4,0,0,20.6178
38,25:50:00,25:50:00,55,5,0,0,32.5884
38,26:00:00,26:00:00,39,6,0,0,43.4604
38,26:11:00,26:11:00,2,7,0,0,53.9873
38,26:24:00,26:24:00,10,8,0,0,59.3167
39,05:42:00,05:42:00,1,1,0,0,0.0000
39,06:08:00,06:08:00,28,2,0,0,7.6985
39,06:18:00,06:18:00,71,3,0,0,14.5943
39,06:25:00,06:25:00,9,4,0,0,20.6178
39,06:38:00,06:38:00,55,5,0,0,32.5884
39,06:49:00,06:49:00,39,6,0,0,43.4604
39,07:03:00,07:03:00,2,7,0,0,53.9873
39,07:17:00,07:17:00,10,8,0,0,59.3167
40,09:00:00,09:00:00,1,1,0,0,0.0000
40,09:26:00,09:26:00,28,2,0,0,7.6985
40,09:37:00,09:37:00,71,3,0,0,14.5943
40,09:47:00,09:47:00,9,4,0,0,20.6178
40,10:01:00,10:01:00,55,5,0,0,32.5884
40,10:11:00,10:11:00,39,6,0,0,43.4604
40,10:21:00,10:21:00,2,7,0,0,53.9873
40,10:35:00,10:35:00,10,8,0,0,59.3167
41,10:19:00,10:19:00,1,1,0,0,0.0000
41,10:45:00,10:45:00,28,2,0,0,7.6985
41,10:56:00,10:56:00,71,3,0,0,14.5943
41,11:03:00,11:03:00,9,4,0,0,20.6178
41,11:16:00,11:16:00,55,5,0,0,32.5884
41,11:26:00,11:26:00,39,6,0,0,43.4604
41,11:37:00,11:37:00,2,7,0,0,53.9873
41,11:50:00,11:50:00,10,8,0,0,59.3167
42,12:00:00,12:00:00,1,1,0,0,0.0000
42,12:26:00,12:26:00,28,2,0,0,7.6985
42,12:37:00,12:37:00,71,3,0,0,14.5943
42,12:44:00,12:44:00,9,4,0,0,20.6178
42,12:57:00,12:57:00,55,5,0,0,32.5884
42,13:12:00,13:12:00,39,6,0,0,43.4604
42,13:22:00,13:22:00,2,7,0,0,53.9873
42,13:35:00,13:35:00,10,8,0,0,59.3167
43,13:47:00,13:47:00,1,1,0,0,0.0000
43,14:13:00,14:13:00,28,2,0,0,7.6985
43,14:23:00,14:23:00,71,3,0,0,14.5943
43,14:30:00,14:30:00,9,4,0,0,20.6178
43,14:43:00,14:43:00,55,5,0,0,32.5884
43,14:54:00,14:54:00,39,6,0,0,43.4604
43,15:08:00,15:08:00,2,7,0,0,53.9873
43,15:21:00,15:21:00,10,8,0,0,59.3167
44,14:40:00,14:40:00,1,1,0,0,0.0000
44,15:07:00,15:07:00,28,2,0,0,7.6985
44,15:18:00,15:18:00,71,3,0,0,14.5943
44,15:25:00,15:25:00,9,4,0,0,20.6178
44,15:38:00,15:38:00,55,5,0,0,32.5884
44,15:49:00,15:49:00,39,6,0,0,43.4604
44,16:03:00,16:03:00,2,7,0,0,53.9873
44,16:16:00,16:16:00,10,8,0,0,59.3167
45,16:48:00,16:48:00,1,1,0,0,0.0000
45,17:14:00,17:14:00,28,2,0,0,7.6985
45,17:25:00,17:25:00,71,3,0,0,14.5943
45,17:36:00,17:36:00,9,4,0,0,20.6178
45,17:50:00,17:50:00,55,5,0,0,32.5884
45,18:00:00,18:00:00,39,6,0,0,43.4604
45,18:14:00,18:14:00,2,7,0,0,53.9873
45,18:28:00,18:28:00,10,8,0,0,59.3167
46,17:48:00,17:48:00,1,1,0,0,0.0000
46,18:14:00,18:14:00,28,2,0,0,7.6985
46,18:25:00,18:25:00,71,3,0,0,14.5943
46,18:32:00,18:32:00,9,4,0,0,20.6178
46,18:45:00,18:45:00,55,5,0,0,32.5884
46,18:56:00,18:56:00,39,6,0,0,43.4604
46,19:06:00,19:06:00,2,7,0,0,53.9873
46,19:19:00,19:19:00,10,8,0,0,59.3167
47,19:03:00,19:03:00,1,1,0,0,0.0000
47,19:29:00,19:29:00,28,2,0,0,7.6985
47,19:40:00,19:40:00,71,3,0,0,14.5943
47,19:47:00,19:47:00,9,4,0,0,20.6178
47,20:01:00,20:01:00,55,5,0,0,32.5884
47,20:16:00,20:16:00,39,6,0,0,43.4604
47,20:26:00,20:26:00,2,7,0,0,53.9873
47,20:40:00,20:40:00,10,8,0,0,59.3167
48,19:57:00,19:57:00,1,1,0,0,0.0000
48,20:23:00,20:23:00,28,2,0,0,7.6985
48,20:34:00,20:34:00,71,3,0,0,14.5943
48,20:41:00,20:41:00,9,4,0,0,20.6178
48,20:54:00,20:54:00,55,5,0,0,32.5884
48,21:05:00,21:05:00,39,6,0,0,43.4604
48,21:15:00,21:15:00,2,7,0,0,53.9873
48,21:29:00,21:29:00,10,8,0,0,59.3167
49,21:52:00,21:52:00,1,1,0,0,0.0000
49,22:18:00,22:18:00,28,2,0,0,7.6985
49,22:29:00,22:29:00,71,3,0,0,14.5943
49,22:39:00,22:39:00,9,4,0,0,20.6178
49,22:53:00,22:53:00,55,5,0,0,32.5884
49,23:03:00,23:03:00,39,6,0,0,43.4604
49,23:13:00,23:13:00,2,7,0,0,53.9873
49,23:27:00,23:27:00,10,8,0,0,59.3167
50,23:42:00,23:42:00,1,1,0,0,0.0000
50,24:08:00,24:08:00,28,2,0,0,7.6985
50,24:19:00,24:19:00,71,3,0,0,14.5943
50,24:26:00,24:26:00,9,4,0,0,20.6178
50,24:40:00,24:40:00,55,5,0,0,32.5884
50,24:50:00,24:50:00,39,6,0,0,43.4604
50,25:05:00,25:05:00,2,7,0,0,53.9873
50,25:19:00,25:19:00,10,8,0,0,59.3167
51,05:34:00,05:34:00,67,1,0,0,0.0000
51,05:38:00,05:38:00,39472,2,0,0,1.8025
51,05:47:00,05:47:00,35,3,0,0,5.9223
51,05:53:00,05:53:00,34,4,0,0,9.8085
51,05:58:00,05:58:00,96,5,0,0,12.3152
51,06:01:00,06:01:00,20,6,0,0,14.1206
51,06:07:00,06:07:00,147,7,0,0,17.7104
51,06:11:00,06:11:00,69,8,0,0,19.9059
51,06:15:00,06:15:00,98,9,0,0,21.7928
51,06:18:00,06:18:00,39635,10,0,0,22.9356
51,06:21:00,06:21:00,72,11,0,0,24.7044
51,06:27:00,06:27:00,38081,12,0,0,26.8301
51,06:30:00,06:30:00,89,13,0,0,27.7148
51,06:32:00,06:32:00,150,14,0,0,28.8439
51,06:35:00,06:35:00,153,15,0,0,29.7172
51,06:38:00,06:38:00,152,16,0,0,30.5777
51,06:41:00,06:41:00,14,17,0,0,31.2047
51,06:44:00,06:44:00,50,18,0,0,31.7714
51,06:47:00,06:47:00,19,19,0,0,32.3687
51,06:54:00,06:54:00,106,20,0,0,35.8256
51,07:12:00,07:12:00,63,21,0,0,43.4205
52,06:34:00,06:34:00,67,1,0,0,0.0000
52,06:38:00,06:38:00,39472,2,0,0,1.8025
52,06:47:00,06:47:00,35,3,0,0,5.9223
52,06:53:00,06:53:00,34,4,0,0,9.8085
52,06:58:00,06:58:00,96,5,0,0,12.3152
52,07:01:00,07:01:00,20,6,0,0,14.1206
52,07:07:00,07:07:00,147,7,0,0,17.7104
52,07:11:00,07:11:00,69,8,0,0,19.9059
52,07:15:00,07:15:00,98,9,0,0,21.7928
52,07:18:00,07:18:00,39635,10,0,0,22.9356
52,07:21:00,07:21:00,72,11,0,0,24.7044
52,07:27:00,07:27:00,38081,12,0,0,26.8301
52,07:30:00,07:30:00,89,13,0,0,27.7148
52,07:32:00,07:32:00,150,14,0,0,28.8439
52,07:35:00,07:35:00,153,15,0,0,29.7172
52,07:38:00,07:38:00,152,16,0,0,30.5777
52,07:41:00,07:41:00,14,17,0,0,31.2047
52,07:44:00,07:44:00,50,18,0,0,31.7714
52,07:47:00,07:47:00,19,19,0,0,32.3687
